                    x                count                  avg                sigma                  min                  max
       6954.000000000        136.000000000         30.525007000         12.755123000        -26.594999000         43.717999000
       6955.000000000         49.000000000         27.180939000         14.267128000        -28.023001000         40.562000000
       7125.000000000          6.000000000         24.572333000         22.372713000        -18.252001000         42.699001000
       7126.000000000        113.000000000         19.077549000         22.354518000        -34.535000000         44.203999000
       7127.000000000        136.000000000         25.986397000         16.364038000        -28.457001000         44.719002000
       7128.000000000         61.000000000         17.990623000         22.203496000        -26.750000000         41.174999000
       7300.000000000         68.000000000         22.685515000         17.437146000        -28.482000000         39.958000000
       7301.000000000        134.000000000         27.977866000         14.330088000        -31.400999000         44.102001000
       7302.000000000         59.000000000          9.015169000         25.296497000        -32.950001000         41.692001000
       7474.000000000         85.000000000         15.250082000         22.797295000        -38.014000000         39.412998000
       7475.000000000        132.000000000         27.365841000         14.091073000        -25.664000000         43.686001000
       7476.000000000        100.000000000         17.621970000         20.135196000        -30.906000000         39.891998000
       7477.000000000         21.000000000         22.818857000         16.924288000        -21.266001000         41.041000000
       7647.000000000         88.000000000         11.332068000         22.737700000        -31.298000000         37.155998000
       7648.000000000        133.000000000         17.923519000         22.125024000        -30.208000000         41.811001000
       7649.000000000         58.000000000          3.533017000         27.057200000        -37.138000000         45.097000000
       7822.000000000         35.000000000          8.292772000         25.263710000        -36.584000000         41.632000000
       7823.000000000        131.000000000          4.004412000         25.772229000        -42.811001000         38.096001000
       7824.000000000        134.000000000         13.660993000         22.527845000        -33.318001000         37.893002000
       7825.000000000         80.000000000         20.204450000         20.096841000        -30.073999000         42.430000000
       7826.000000000         14.000000000          2.592214000         22.511388000        -23.238001000         28.563000000
       7994.000000000         92.000000000          8.253500000         23.979303000        -30.337999000         38.985001000
       7995.000000000        134.000000000         24.751164000         18.212927000        -30.812000000         45.784000000
       7996.000000000         58.000000000          8.065621000         25.325414000        -35.247002000         37.389999000
       8170.000000000         40.000000000         30.625700000          5.802058000         17.530001000         40.543999000
       8171.000000000        129.000000000         17.780690000         20.757975000        -29.466000000         43.091999000
       8172.000000000        136.000000000         19.743706000         20.205427000        -34.847000000         45.152000000
       8173.000000000        103.000000000         12.036689000         23.953946000        -38.945000000         39.137001000
       8174.000000000         38.000000000         12.635105000         23.976254000        -29.615000000         38.424000000
       8340.000000000         29.000000000         14.219207000         23.878410000        -28.589001000         35.105000000
       8341.000000000        124.000000000         -4.712234000         25.037485000        -39.653000000         39.230999000
       8343.000000000         38.000000000          1.359290000         26.727222000        -36.306000000         35.032001000
       8519.000000000         70.000000000          3.644186000         24.767075000        -39.852001000         38.648998000
       8520.000000000        133.000000000         13.416429000         22.316897000        -32.477001000         42.998001000
       8521.000000000        135.000000000          6.618948000         25.539803000        -36.396999000         37.751999000
       8522.000000000        105.000000000          4.692914000         25.659864000        -35.018002000         40.417000000
       8523.000000000         43.000000000         -4.328256000         26.451783000        -35.866001000         38.508999000
       8686.000000000          1.000000000         31.329000000          0.000000000         31.329000000         31.329000000
       8687.000000000         77.000000000         -2.370364000         25.498251000        -38.527000000         39.741001000
       8688.000000000        136.000000000          0.483948000         24.525275000        -36.609001000         37.456001000
       8689.000000000        111.000000000         13.034216000         21.870233000        -30.606001000         40.999001000
       8690.000000000         11.000000000         -1.521909000         26.755894000        -32.374001000         28.882999000
       8867.000000000          6.000000000         27.919000000          8.944336000         17.188999000         39.431000000
       8868.000000000         76.000000000         19.032224000         19.353458000        -27.100000000         45.168999000
       8869.000000000        134.000000000         20.194478000         18.648340000        -34.250000000         41.470001000
       8870.000000000        138.000000000         14.707246000         22.187784000        -33.549999000         43.513000000
       8871.000000000        113.000000000          9.133345000         23.975249000        -38.675999000         36.904999000
       8872.000000000         43.000000000         16.737953000         23.734038000        -32.125000000         43.830002000
       9033.000000000         56.000000000         11.193268000         22.600274000        -37.854000000         43.438999000
       9034.000000000        133.000000000         27.636865000         14.041992000        -27.452999000         45.618000000
       9035.000000000        139.000000000          7.446043000         24.362846000        -34.905998000         37.925999000
       9036.000000000         56.000000000         27.698250000         13.343837000        -25.257000000         40.828999000
       9378.000000000          8.000000000         41.776000000          6.923868000         32.073002000         49.042000000
       9379.000000000         69.000000000         30.524377000         16.712046000        -20.773001000         56.161999000
       9380.000000000        132.000000000         14.370485000         25.144229000        -39.222000000         52.965000000
       9381.000000000        142.000000000         30.377958000         13.231300000        -25.715000000         56.842999000
       9382.000000000         89.000000000         21.630359000         18.995282000        -30.096001000         39.255001000
       9383.000000000          3.000000000         31.948999000          5.393477000         26.341999000         37.099998000
       9565.000000000          4.000000000         35.797250000          3.872750000         30.566000000         39.581001000
       9566.000000000         58.000000000         30.071241000         15.030090000        -25.754000000         49.033001000
       9567.000000000        126.000000000         28.718889000         15.194561000        -27.155001000         48.082001000
       9568.000000000        135.000000000         25.191556000         18.671815000        -36.472000000         49.494999000
       9569.000000000         93.000000000         24.792581000         19.756288000        -31.347000000         50.812000000
       9570.000000000         16.000000000         30.796437000         15.011753000        -18.856001000         44.678001000
       9725.000000000         51.000000000         44.247431000          9.053799000         23.170000000         63.852001000
       9726.000000000        114.000000000         37.195886000         12.721381000        -15.802000000         61.039001000
       9727.000000000        144.000000000         42.184340000          7.683343000         23.497000000         64.472000000
       9728.000000000        132.000000000         41.869091000          6.810680000         26.153999000         58.797001000
       9729.000000000         55.000000000         41.335309000          4.603659000         30.495001000         50.187000000
       9914.000000000         14.000000000         37.854214000          4.917652000         28.233999000         45.438000000
       9915.000000000         88.000000000         35.871148000          8.780984000        -17.790001000         52.869999000
       9916.000000000        135.000000000         33.066896000         13.453251000        -25.502001000         51.612999000
       9917.000000000        130.000000000         32.569885000         11.152817000        -25.233000000         50.250000000
       9918.000000000         62.000000000         37.416532000          6.902946000         17.968000000         50.266998000
      10070.000000000         29.000000000         43.078690000          5.330862000         30.525000000         51.091999000
      10071.000000000         92.000000000         41.996793000          7.001606000         12.471000000         53.320999000
      10072.000000000        136.000000000         36.316000000          9.544848000        -21.993000000         53.097000000
      10073.000000000        134.000000000         40.939410000          5.807461000         22.805000000         58.442001000
      10074.000000000        114.000000000         38.721824000          5.434867000         23.127001000         52.042000000
      10075.000000000         54.000000000         40.261296000          4.544241000         26.747999000         49.686001000
      10263.000000000         55.000000000         44.808127000          5.867093000         35.759998000         66.504997000
      10264.000000000        132.000000000         40.843939000          7.897884000         22.457001000         64.837997000
      10265.000000000        130.000000000         40.463723000          8.764252000         11.865000000         63.631001000
      10266.000000000         90.000000000         37.092189000         13.618452000        -31.768000000         64.558998000
      10267.000000000         12.000000000         40.722999000          7.191265000         27.521999000         50.706001000
      10416.000000000         23.000000000         39.240391000          4.903460000         27.587000000         48.632000000
      10417.000000000         89.000000000         42.901180000          5.041331000         30.302999000         53.570000000
      10418.000000000        142.000000000         36.001416000          6.425832000         12.890000000         53.660999000
      10419.000000000        151.000000000         41.623748000          5.072528000         31.030001000         54.917999000
      10420.000000000        123.000000000         35.998545000          7.735604000        -13.236000000         52.299000000
      10421.000000000         63.000000000         38.725508000          4.415074000         29.398001000         49.346001000
      10422.000000000          5.000000000         31.408200000          6.257827000         21.379999000         36.943001000
      10611.000000000          5.000000000         75.492599000          5.406691000         68.462997000         83.352997000
      10612.000000000         80.000000000         57.769575000          7.298938000         38.099998000         70.488998000
      10613.000000000        139.000000000         54.516360000          9.305493000         25.716000000         74.315002000
      10614.000000000        136.000000000         51.440162000          8.598786000         33.792000000         72.780998000
      10615.000000000         57.000000000         48.476158000          7.406228000         35.542999000         71.889999000
      10761.000000000         15.000000000         43.752867000          3.623057000         33.705002000         48.987999000
      10762.000000000         67.000000000         43.008985000          4.643009000         25.962000000         51.183998000
      10763.000000000        130.000000000         40.296546000          6.763218000        -13.962000000         50.231998000
      10764.000000000        154.000000000         43.299032000          4.502825000         29.285999000         53.928001000
      10765.000000000        134.000000000         40.557418000          4.684660000         26.391001000         51.316002000
      10766.000000000         77.000000000         45.626883000          5.026975000         34.186001000         58.429001000
      10767.000000000         20.000000000         42.380550000          4.259540000         32.856998000         48.068001000
      10961.000000000         59.000000000         32.928763000         10.111083000        -17.709999000         47.396000000
      10962.000000000        149.000000000         27.727731000         14.915615000        -32.587002000         49.779999000
      10963.000000000        149.000000000         29.025651000         12.059715000        -34.063000000         49.480999000
      10964.000000000         59.000000000         28.211085000         13.666487000        -30.458000000         41.733002000
      11107.000000000         17.000000000         35.832353000          5.424226000         23.327000000         44.946999000
      11108.000000000         52.000000000         35.358135000          5.480631000         21.774000000         44.921001000
      11109.000000000         96.000000000         33.872031000          9.276946000        -21.358000000         45.126999000
      11110.000000000        141.000000000         29.320043000         13.401206000        -30.934000000         45.188999000
      11111.000000000        178.000000000         35.076579000          8.005484000        -20.895000000         47.166000000
      11112.000000000        132.000000000         30.452455000         11.472316000        -29.094999000         47.800999000
      11113.000000000         53.000000000         33.731755000         10.194636000        -22.544001000         48.820999000
      11311.000000000         21.000000000         16.863381000         24.184860000        -25.497000000         40.029999000
      11312.000000000        111.000000000         22.958315000         19.286852000        -37.196999000         47.397999000
      11313.000000000        147.000000000         25.492728000         16.547578000        -29.546000000         45.014000000
      11314.000000000         94.000000000         23.380000000         19.292518000        -30.268000000         41.095001000
      11446.000000000         10.000000000         33.255700000          4.092186000         25.158001000         39.797001000
      11447.000000000         59.000000000         29.917305000         10.590732000        -24.063999000         42.328999000
      11448.000000000        124.000000000         56.677887000          3.328534000         47.577000000         66.642998000
      11449.000000000        182.000000000         28.257022000         13.437421000        -30.863001000         45.445999000
      11450.000000000        174.000000000         27.086862000         16.209911000        -32.618000000         47.202999000
      11451.000000000        100.000000000         23.167290000         19.747022000        -30.554001000         46.230999000
      11452.000000000         19.000000000         28.835789000         11.811482000        -15.523000000         42.445999000
      11649.000000000         24.000000000         24.594917000         14.516152000        -20.854000000         37.695999000
      11650.000000000        154.000000000         21.926844000         18.042869000        -28.349001000         40.848999000
      11651.000000000        118.000000000         13.703127000         22.001368000        -30.552999000         41.298000000
      11774.000000000         29.000000000         22.930207000         15.033800000        -18.649000000         38.741001000
      11775.000000000         81.000000000          9.692173000         22.430780000        -31.663000000         35.612000000
      11776.000000000        141.000000000         22.105468000         18.789190000        -29.735001000         42.846001000
      11777.000000000        193.000000000          5.280793000         24.328441000        -34.398998000         42.728001000
      11778.000000000        173.000000000         14.583855000         23.275988000        -36.280998000         42.425999000
      11779.000000000        111.000000000          3.173514000         26.402571000        -38.223000000         46.219002000
      11780.000000000         37.000000000         16.798216000         23.255772000        -30.115000000         42.370998000
      11980.000000000        120.000000000          8.768725000         23.914128000        -38.848000000         35.981998000
      11981.000000000        158.000000000         23.506506000         17.230009000        -28.871000000         43.127998000
      11982.000000000         16.000000000         16.541938000         21.141696000        -23.348000000         34.090000000
      12102.000000000         27.000000000         27.534333000         13.019789000        -24.063999000         41.888000000
      12103.000000000         81.000000000         26.333284000         16.780806000        -30.669001000         43.977001000
      12104.000000000        143.000000000         14.318643000         22.444790000        -30.806000000         40.925999000
      12105.000000000        189.000000000         28.262127000         13.679230000        -25.764000000         43.341000000
      12106.000000000        180.000000000          9.141706000         24.482296000        -36.514000000         39.673000000
      12107.000000000        124.000000000         15.354782000         22.373228000        -32.195999000         40.646000000
      12108.000000000         59.000000000          8.327898000         25.729720000        -35.103001000         41.943001000
      12310.000000000         61.000000000         13.192606000         24.877938000        -34.438000000         41.526001000
      12311.000000000        180.000000000          5.840256000         24.806592000        -36.832001000         41.570999000
      12312.000000000         65.000000000         24.488169000         18.864709000        -29.292999000         47.409000000
      12431.000000000         46.000000000         17.222043000         20.516421000        -29.344999000         39.719002000
      12432.000000000        106.000000000         32.211113000         10.708015000        -23.757999000         43.763000000
      12433.000000000        161.000000000         14.732652000         21.164123000        -32.122002000         41.544998000
      12434.000000000        164.000000000         28.609671000         16.336824000        -33.805000000         43.231998000
      12435.000000000        170.000000000         22.084688000         18.238681000        -32.834000000         41.574001000
      12436.000000000         80.000000000         21.988750000         20.332613000        -41.960999000         43.155998000
      12437.000000000         48.000000000         16.569208000         22.047215000        -33.833000000         37.855999000
      12759.000000000         51.000000000         18.909667000         22.132438000        -32.425999000         39.894001000
      12760.000000000        131.000000000         10.813992000         24.014118000        -34.307999000         37.647999000
      12761.000000000        188.000000000         18.045793000         21.375954000        -32.436001000         41.736000000
      12762.000000000        179.000000000         15.760045000         21.778253000        -34.888000000         41.700001000
      12763.000000000        130.000000000         22.899331000         18.849354000        -34.063999000         44.411999000
      12764.000000000         73.000000000         17.281959000         20.742936000        -30.797001000         44.191002000
      12765.000000000         20.000000000         26.097950000         17.800886000        -26.797001000         40.549999000
      12971.000000000         44.000000000         21.066137000         19.278224000        -30.673000000         38.174999000
      12972.000000000        180.000000000         24.906011000         16.641135000        -34.662998000         42.889000000
      12973.000000000         74.000000000         18.155973000         21.384229000        -32.039001000         41.830002000
      13087.000000000         47.000000000          4.524191000         25.848039000        -37.570999000         40.432999000
      13088.000000000        150.000000000         17.944333000         21.451447000        -35.223999000         40.449001000
      13089.000000000        198.000000000          2.991843000         24.238409000        -36.337002000         36.820000000
      13090.000000000        128.000000000         23.715430000         17.606655000        -31.393999000         41.139000000
      13091.000000000         62.000000000         17.836193000         20.240815000        -31.275999000         38.438999000
      13092.000000000         12.000000000         22.287750000         20.453375000        -23.548000000         37.986000000
      13304.000000000         32.000000000          3.330031000         26.083217000        -37.235001000         34.401001000
      13415.000000000          4.000000000         45.893001000          3.248315000         42.061001000         48.590000000
      13416.000000000        105.000000000          7.436809000         26.255164000        -40.080002000         43.053001000
      13417.000000000        203.000000000         26.994246000         14.734196000        -28.723000000         47.679001000
      13418.000000000        131.000000000          6.907389000         24.032886000        -34.830002000         38.384998000
      13419.000000000         49.000000000         48.857755000          4.381784000         39.492001000         59.069000000
      13632.000000000         20.000000000         40.286300000          4.176283000         32.683998000         47.645000000
      13633.000000000        169.000000000         32.287959000         12.403183000        -36.004002000         48.794998000
      13634.000000000        168.000000000         36.653250000          9.957953000        -28.469000000         58.335999000
      13635.000000000         16.000000000         37.370000000         10.318398000          9.886000000         52.305000000
      13745.000000000        125.000000000         34.218680000         14.136170000        -30.754999000         57.262001000
      13747.000000000        100.000000000         34.464010000          7.185818000        -16.440001000         44.520000000
      13963.000000000         36.000000000         36.480694000          6.285325000         13.524000000         47.228001000
      13964.000000000        179.000000000         36.125140000          6.571302000         18.658001000         55.277000000
      13965.000000000         73.000000000         30.174014000         15.632843000        -25.075001000         58.027000000
      14073.000000000         14.000000000         38.147072000          6.037663000         30.273001000         48.862000000
      14074.000000000        124.000000000         33.208798000         11.396733000        -21.139000000         51.259998000
      14075.000000000        208.000000000         24.614505000         17.534786000        -35.528000000         50.185001000
      14076.000000000        113.000000000         35.025921000          6.873026000        -14.929000000         47.771999000
      14293.000000000         27.000000000         45.084260000          4.011882000         38.693001000         53.942001000
      14294.000000000        177.000000000         40.453311000          6.308286000         22.445999000         61.453999000
      14295.000000000         78.000000000         36.136474000          8.258984000        -18.379000000         50.380001000
      14406.000000000         13.000000000         41.981077000          4.437958000         34.638000000         51.087002000
